date,store_id,product_id,stock_quantity
2026-09-04,ST01,PRD001,8
2026-09-04,ST02,PRD001,9
2026-09-04,ST03,PRD001,12
2026-09-04,ST01,PRD002,35
2026-09-04,ST02,PRD002,56
2026-09-04,ST03,PRD002,35
2026-09-04,ST01,PRD003,84
2026-09-04,ST02,PRD003,81
2026-09-04,ST03,PRD003,72
2026-09-04,ST01,PRD004,54
2026-09-04,ST02,PRD004,41
2026-09-04,ST03,PRD004,48
2026-09-04,ST01,PRD005,68
2026-09-04,ST02,PRD005,50
2026-09-04,ST03,PRD005,61
2026-09-04,ST01,PRD006,66
2026-09-04,ST02,PRD006,38
2026-09-04,ST03,PRD006,44
2026-09-04,ST01,PRD007,52
2026-09-04,ST02,PRD007,40
2026-09-04,ST03,PRD007,37
2026-09-04,ST01,PRD008,139
2026-09-04,ST02,PRD008,176
2026-09-04,ST03,PRD008,192
2026-09-04,ST01,PRD009,36
2026-09-04,ST02,PRD009,39
2026-09-04,ST03,PRD009,27
2026-09-04,ST01,PRD010,72
2026-09-04,ST02,PRD010,41
2026-09-04,ST03,PRD010,67
2026-09-04,ST01,PRD011,64
2026-09-04,ST02,PRD011,80
2026-09-04,ST03,PRD011,86
2026-09-04,ST01,PRD012,60
2026-09-04,ST02,PRD012,39
2026-09-04,ST03,PRD012,72
2026-09-04,ST01,PRD013,71
2026-09-04,ST02,PRD013,38
2026-09-04,ST03,PRD013,62
2026-09-04,ST01,PRD014,53
2026-09-04,ST02,PRD014,60
2026-09-04,ST03,PRD014,63
2026-09-04,ST01,PRD015,33
2026-09-04,ST02,PRD015,35
2026-09-04,ST03,PRD015,37
2026-09-04,ST01,PRD016,6
2026-09-04,ST02,PRD016,9
2026-09-04,ST03,PRD016,10
2026-09-04,ST01,PRD017,52
2026-09-04,ST02,PRD017,49
2026-09-04,ST03,PRD017,39
2026-09-04,ST01,PRD018,47
2026-09-04,ST02,PRD018,43
2026-09-04,ST03,PRD018,72
2026-09-04,ST01,PRD019,123
2026-09-04,ST02,PRD019,129
2026-09-04,ST03,PRD019,153
2026-09-04,ST01,PRD020,55
2026-09-04,ST02,PRD020,73
2026-09-04,ST03,PRD020,74
